"lat" "long" "freq" "location"
"3316" 59.08637 10.90396 1 727
"2887" 59.03007 10.14634 1 331
"5663" 59.86301 10.58286 1 2466
"3143" 59.06507 9.653586 1 565
"5782" 59.89126 10.54519 1 2562
"4286" 59.23264 10.47242 1 1568
"5757" 59.88666 10.60244 1 2541
"4613" 59.41901 10.63205 1 1835
"4909" 59.5393 10.55955 1 2041
"4894" 59.53262 10.26055 1 2028
"2526" 58.96087 9.649422 1 36
"3736" 59.13576 10.44345 1 1083
"3613" 59.12119 10.38314 1 986
"3596" 59.11891 10.4233 1 973
"5470" 59.76821 10.71016 1 2357
"4560" 59.3637 10.46528 1 1798
"4266" 59.22594 10.77214 1 1552
"4651" 59.43898 10.38973 1 1865
"5820" 59.90571 10.71033 1 2593
"3290" 59.08332 10.99032 1 703
"5586" 59.83293 10.69665 1 2407
"4051" 59.18524 11.08871 1 1364
"2546" 58.96525 9.962456 1 46
"4174" 59.20771 11.07613 1 1475
"5235" 59.67949 10.58105 1 2192
"5574" 59.82783 10.49906 1 2400
"3377" 59.09405 9.647245 1 782
"3519" 59.11015 10.8729 1 906
"2894" 59.03148 11.01501 1 337
"5152" 59.6556 10.38694 1 2163
"3778" 59.14381 10.41509 1 1121
"3643" 59.12417 10.86763 1 1007
"4495" 59.31916 10.69978 1 1748
"3943" 59.16797 10.32818 1 1269
"5220" 59.6735 10.42809 1 2182
"4814" 59.50144 10.64695 1 1962
"3763" 59.14129 11.17917 1 1108
"3317" 59.08637 10.84133 1 728
"3441" 59.1018 11.21951 1 840
"4319" 59.2437 10.50357 1 1597
"5528" 59.81054 10.48534 1 2383
"4779" 59.48734 10.3969 1 1942
"3616" 59.12159 10.26479 1 989
"3994" 59.1759 10.94624 1 1314
"2963" 59.04349 9.771556 1 400
"5249" 59.6828 10.36467 1 2200
"4816" 59.50215 10.68299 1 1964
"4709" 59.45965 10.62475 1 1908
"5403" 59.73171 10.51968 1 2300
"5728" 59.87947 10.62382 1 2519
"2661" 58.98899 10.03352 1 126
"4419" 59.27635 10.39733 1 1684
"3396" 59.09628 10.40845 1 799
"3401" 59.09706 10.43115 1 803
"3549" 59.11352 11.11782 1 934
"3197" 59.07173 10.88648 1 616
"4755" 59.47749 10.35394 1 1929
